amt,city_pop,,,amt,,,city_pop,,
77.75,710,,,,,,,Art therapist,48.51
37.77,4512,,,,,,,Arts development officer,64.765
38.07,6703,,,,,,,Audiological scientist,85.42
2.05,21134,,,,,,,Barista,35.31
223.58,3495,,,,,,,Barrister,46.54125
71.29,263,,,,,,,"Biochemist, clinical",66.875
2.85,47249,,,,,,,Biomedical engineer,53.53
2.02,1368,,,,,,,Biomedical scientist,41.75666667
145.15,1656,,,,,,,Bookseller,105.665
59.98,471,,,,,,,Broadcast presenter,68.67
62.56,20328,,,,,,,Building control surveyor,55.86
4.57,230,,,,,,,Building services engineer,137.49
50.61,1363,,,,,,,Building surveyor,41.522
20.27,255,,,,,,,"Buyer, industrial",90.0675
57.63,823,,,,,,,Cabin crew,8.57
19.4,24645,,,,,,,Call centre manager,42.72833333
7.66,308,,,,,,,Camera operator,130.51
48.54,1504,,,,,,,Careers information officer,68.3
78.53,1595797,,,,,,,Cartographer,41.88
1.99,4542,,,,,,,Catering manager,19.93
1.93,31394,,,,,,,Ceramics designer,23.6325
49.28,2906700,,,,,,,Charity officer,3.43
121.27,69793,,,,,,,Chartered accountant,146.67
4.07,67082,,,,,,,Chartered loss adjuster,86.01
3.43,4533,,,,,,,Chartered public finance accountant,83.76666667
32.99,1190,,,,,,,Chemical engineer,16.44
108.74,922,,,,,,,Chief Executive Officer,37.92
26.03,635,,,,,,,Chief Marketing Officer,49.70333333
41.25,1684,,,,,,,Chief Operating Officer,42.176
95.3,1925,,,,,,,Chief Strategy Officer,110.68
68.35,47249,,,,,,,Chief Technology Officer,51.545
37.24,1791,,,,,,,Child psychotherapist,31.87
49.33,478,,,,,,,Chiropodist,43.55
25.21,165556,,,,,,,Civil Service fast streamer,121.92
39.46,10256,,,,,,,Claims inspector/assessor,52.9
811.06,47249,,,,,,,Clinical biochemist,99.44
12.66,116001,,,,,,,Clinical psychologist,237.17
12.38,269,,,,,,,Clinical research associate,83.24
1.62,1523,,,,,,,Clothing/textile technologist,38.315
82.44,4090,,,,,,,Colour technologist,22.22
156.27,239,,,,,,,Commercial/residential surveyor,77.145
102.56,158701,,,,,,,Communications engineer,69.86
2.48,760,,,,,,,Community arts worker,25.30333333
181.3,26551,,,,,,,Community development worker,79.56
121.26,1102,,,,,,,Community education officer,68.07
4.21,67082,,,,,,,Community pharmacist,2.16
97.1,67082,,,,,,,Company secretary,40.96
34.25,5216,,,,,,,Comptroller,35.43
55.53,2906700,,,,,,,"Conservation officer, historic buildings",78.09333333
5.48,4533,,,,,,,"Conservator, furniture",22.85
19.66,1420,,,,,,,"Conservator, museum/gallery",12.87
8.34,43,,,,,,,Contractor,105.46
155.37,370,,,,,,,Control and instrumentation engineer,71.35
123.83,5950,,,,,,,"Copywriter, advertising",20.5975
189.41,8333,,,,,,,Corporate investment banker,101.715
53.61,5901,,,,,,,Counselling psychologist,39.52
6.36,1789,,,,,,,Counsellor,49.79
7.47,134056,,,,,,,Curator,124.3085714
3.2,7268,,,,,,,Cytogeneticist,33.325
68.89,1423,,,,,,,Database administrator,59.438
55.82,2906700,,,,,,,Dealer,111.07
9.15,540,,,,,,,"Designer, ceramics/pottery",67.04571429
59.01,832,,,,,,,"Designer, exhibition/display",38.42
4.53,18408,,,,,,,"Designer, furniture",42.63
155.69,1178,,,,,,,"Designer, industrial/product",111.13
45.21,3430,,,,,,,"Designer, interior/spatial",5940.23
3.04,20328,,,,,,,"Designer, jewellery",99.82
76.84,5161,,,,,,,"Designer, multimedia",37.915
159.78,1423,,,,,,,"Designer, textile",70.92
108.01,124967,,,,,,,"Development worker, community",110.4233333
59.5,1126,,,,,,,"Development worker, international aid",60.2
33.36,3996,,,,,,,Diagnostic radiographer,82.10666667
12.08,372,,,,,,,Dispensing optician,128.84
34.2,18408,,,,,,,"Doctor, general practice",7.43
6.23,15426,,,,,,,"Doctor, hospital",7.13
6.36,3085,,,,,,,Drilling engineer,56.88142857
32.24,3684,,,,,,,Early years teacher,107.49
106.24,123,,,,,,,"Editor, commissioning",52.602
8.12,1288,,,,,,,Education administrator,71.17666667
10.75,3833,,,,,,,"Education officer, museum",54.465
35.89,172817,,,,,,,Educational psychologist,2.68
183.53,1583,,,,,,,Electrical engineer,44.98
4.98,27020,,,,,,,Electronics engineer,36.65
1.96,3224,,,,,,,"Embryologist, clinical",67.29
29.25,1075,,,,,,,Emergency planning/management officer,74.3
19.13,350,,,,,,,Energy engineer,18.28333333
100.18,5648,,,,,,,Energy manager,5.855
62.61,2317,,,,,,,"Engineer, automotive",118.5925
165.06,153,,,,,,,"Engineer, biomedical",70.6975
236.79,71485,,,,,,,"Engineer, broadcasting (operations)",64.17
88.66,14742,,,,,,,"Engineer, civil (contracting)",6.23
87.91,741,,,,,,,"Engineer, communications",22.68
1.19,4913,,,,,,,"Engineer, control and instrumentation",69.06142857
192.69,3776,,,,,,,"Engineer, electronics",73.57333333
55.86,192805,,,,,,,"Engineer, land",100.69
76.2,479994,,,,,,,"Engineer, maintenance",2.15
9.67,9772,,,,,,,"Engineer, manufacturing",53.48
5.46,1512,,,,,,,"Engineer, mining",44.385
89.59,272,,,,,,,"Engineer, production",28.30428571
1.24,8874,,,,,,,Engineering geologist,42.268
60.71,47249,,,,,,,Environmental consultant,49.60166667
70.65,3833,,,,,,,Environmental health practitioner,131.55
8.31,302,,,,,,,Environmental manager,76.2
14.96,427,,,,,,,Equality and diversity officer,70.945
31.41,324,,,,,,,Event organiser,44.41
52.46,5760,,,,,,,Exercise physiologist,40.995
8.78,47249,,,,,,,Exhibition designer,47.62
35.61,2304,,,,,,,"Exhibitions officer, museum/gallery",19.37
132.51,47,,,,,,,Facilities manager,85.15
20.12,653,,,,,,,Farm manager,37.77
88.18,1760,,,,,,,Field seismologist,15.82
53.59,687276,,,,,,,Film/video editor,72.471
6.04,92608,,,,,,,Financial adviser,27.79
49.82,516,,,,,,,Financial trader,51.54
143.03,4895,,,,,,,Fine artist,103.61
86.38,190249,,,,,,,Firefighter,231.83
4.75,2092,,,,,,,Fisheries officer,64.9
4.41,489,,,,,,,Fitness centre manager,134.562
75.34,741,,,,,,,Forensic psychologist,10.26666667
73.36,33804,,,,,,,Freight forwarder,63.91
5.45,71335,,,,,,,Furniture conservator/restorer,59.79
67.46,258,,,,,,,Furniture designer,35.65
61.44,741,,,,,,,Further education lecturer,53.67
42.48,895,,,,,,,Futures trader,40.3
5.07,166081,,,,,,,Gaffer,56.26666667
6.92,145,,,,,,,Garment/textile technologist,121.26
49.94,55581,,,,,,,General practice doctor,195.29
65.42,100,,,,,,,Geochemist,94.605
18.06,230,,,,,,,"Geologist, engineering",181.4725
109,13983,,,,,,,"Geologist, wellsite",62.2
15.82,4138,,,,,,,Geophysicist/field seismologist,13.21
117.53,190178,,,,,,,Geoscientist,77.54
117.87,5621,,,,,,,Glass blower/designer,77.75
93.72,24840,,,,,,,Health and safety adviser,89.85
7.26,163415,,,,,,,Health service manager,80.01333333
8.1,1766,,,,,,,Health visitor,53.23333333
86.15,124967,,,,,,,Herbalist,91.9125
1.48,248858,,,,,,,Heritage manager,5.5975
6.53,4895,,,,,,,Herpetologist,126.06
79.5,69793,,,,,,,Historic buildings inspector/conservation officer,39.50714286
3.72,338,,,,,,,Horticultural consultant,79.8
68.8,207,,,,,,,Horticultural therapist,36.92
9.07,2504700,,,,,,,Hospital doctor,27.655
45.55,1423,,,,,,,Hospital pharmacist,44.68
80.45,545147,,,,,,,Human resources officer,302.225
51.75,504,,,,,,,Hydrogeologist,2.84
48.6,525713,,,,,,,Immigration officer,60.59
106.33,5451,,,,,,,Immunologist,85.782
44.42,1523,,,,,,,Industrial/product designer,6.94
47.35,272134,,,,,,,Information systems manager,208.235
6.67,2121,,,,,,,Insurance broker,46.10666667
91.36,46,,,,,,,Insurance risk surveyor,14.755
145.08,1412,,,,,,,Insurance underwriter,24.48333333
64.85,4895,,,,,,,Intelligence analyst,125.46
1.5,22930,,,,,,,Interpreter,38.35
1.29,2408,,,,,,,Investment analyst,6.48
53.45,969,,,,,,,IT consultant,2.81
20.38,765,,,,,,,IT trainer,58.92
119.52,47211,,,,,,,Jewellery designer,117.22
74.91,1426,,,,,,,"Journalist, newspaper",55.76
3.67,207,,,,,,,Land,54.52
4.75,60,,,,,,,Land/geomatics surveyor,48.782
98.27,2376,,,,,,,Landscape architect,51.02
1.57,1850,,,,,,,Lawyer,5.57
63.94,34153,,,,,,,Learning disability nurse,20.4
40.6,372,,,,,,,Learning mentor,150.86
55.98,489,,,,,,,"Lecturer, further education",36.66
75.04,2307,,,,,,,"Lecturer, higher education",104.2075
127.74,3395,,,,,,,Leisure centre manager,125.1133333
23.78,14783,,,,,,,Lexicographer,30.14
42.54,2078,,,,,,,"Librarian, academic",50.645
5.78,144160,,,,,,,"Librarian, public",31.9
71.63,782,,,,,,,Licensed conveyancer,31.81
128.28,7646,,,,,,,Location manager,9.67
53.63,2036,,,,,,,"Loss adjuster, chartered",77.34
44.33,1423,,,,,,,Magazine features editor,92.31166667
15.81,5512,,,,,,,Maintenance engineer,65.42
8.44,836,,,,,,,Make,109.5933333
34.33,4542,,,,,,,Management consultant,11.91
28.2,471,,,,,,,Manufacturing engineer,97.94
47.47,6469,,,,,,,Market researcher,190.35
29.94,77,,,,,,,Materials engineer,55.36666667
33.37,757530,,,,,,,Mechanical engineer,57.06833333
80.92,128715,,,,,,,Media buyer,87.03
26.39,695,,,,,,,Media planner,1.5
59.47,6006,,,,,,,Medical sales representative,88.725
115.9,2691,,,,,,,Medical secretary,71.31
7.35,1760,,,,,,,Medical technical officer,56.98
112.61,139650,,,,,,,Mental health nurse,117.48
68.22,6713,,,,,,,Metallurgist,144.942
72.84,9565,,,,,,,Mining engineer,51.48666667
7.01,77,,,,,,,Mudlogger,17.36
254.69,910148,,,,,,,Multimedia programmer,68.77333333
27.12,84106,,,,,,,Museum education officer,4.75
4.63,6120,,,,,,,Museum/gallery conservator,69.675
13.05,7155,,,,,,,Museum/gallery exhibitions officer,72.2425
82.09,6629,,,,,,,Music therapist,803.11
82.26,7163,,,,,,,Music tutor,79.7275
1.74,5666,,,,,,,Musician,32.24
95.76,427,,,,,,,Naval architect,121.7785714
77.01,4845,,,,,,,Network engineer,109.9666667
1.2,2607,,,,,,,Nutritional therapist,5.54
2.1,20478,,,,,,,Occupational hygienist,82.17
2.68,94325,,,,,,,Occupational psychologist,65.63285714
27.95,519,,,,,,,Operational researcher,97.08
62.17,832,,,,,,,Operations geologist,85.23
5.86,242,,,,,,,"Optician, dispensing",27.425
40.12,324,,,,,,,Osteopath,45.5575
4.91,30770,,,,,,,Paediatric nurse,38.01333333
68.41,1760,,,,,,,Paramedic,106.0514286
2.72,1186,,,,,,,Patent attorney,2.33
68.59,601723,,,,,,,Pathologist,50.815
3.78,5901,,,,,,,Pension scheme manager,35.1825
5.3,1383,,,,,,,Pensions consultant,48.56857143
77.32,5666,,,,,,,Petroleum engineer,51.06714286
8.71,73,,,,,,,Pharmacologist,98.57
195.76,7155,,,,,,,"Physicist, medical",101.59
66.77,198,,,,,,,Physiological scientist,97.1
25.19,4056,,,,,,,Physiotherapist,70.62
4.26,571,,,,,,,Phytotherapist,13.23
54.6,1656,,,,,,,"Pilot, airline",3.37
132.68,1909,,,,,,,Podiatrist,93.46333333
252.89,11256,,,,,,,Police officer,102.15
35.65,1126,,,,,,,Politician's assistant,38.676
3.09,11256,,,,,,,Press photographer,47.015
56.14,71485,,,,,,,Press sub,41.894
195.29,864,,,,,,,Primary school teacher,128.89
118.39,1858,,,,,,,Prison officer,61
93.42,12486,,,,,,,Private music teacher,48.71
65.94,71463,,,,,,,Probation officer,62.895
79.98,2092,,,,,,,"Producer, radio",7.47
59.68,1312922,,,,,,,Product designer,29.93
28.94,4056,,,,,,,Product manager,3.4
61.19,3996,,,,,,,Product/process development scientist,55.12
100.69,1700,,,,,,,"Production assistant, radio",41.22
2.49,129,,,,,,,"Production assistant, television",65.42
141.36,973849,,,,,,,Production engineer,57.87
9.2,258,,,,,,,Production manager,5.795
1.24,520,,,,,,,"Programme researcher, broadcasting/film/video",78.7
85.76,144160,,,,,,,"Programmer, multimedia",49.56
155.47,1661,,,,,,,Psychiatrist,98.63
31.56,2457,,,,,,,"Psychologist, clinical",34.88
16.09,45303,,,,,,,"Psychologist, counselling",123.465
79.8,96942,,,,,,,"Psychologist, forensic",83.26333333
76.33,255,,,,,,,"Psychologist, sport and exercise",81.31
89.36,899,,,,,,,Psychotherapist,1.24
97.17,1274,,,,,,,Public affairs consultant,44.824
34.96,1666,,,,,,,Public librarian,28.21
52.91,647,,,,,,,Public relations account executive,151.4833333
67.35,55581,,,,,,,Purchasing manager,75.86
9.06,2121,,,,,,,Quantity surveyor,52.52
70.75,9521,,,,,,,Race relations officer,7.5
29.4,1019,,,,,,,Radio broadcast assistant,78.03
53.88,71463,,,,,,,Radio producer,40.70666667
6.83,153,,,,,,,"Radiographer, diagnostic",156.6133333
53.56,151785,,,,,,,"Radiographer, therapeutic",62.26
9.54,158701,,,,,,,Records manager,93.68
5940.23,1263321,,,,,,,Regulatory affairs officer,177.64
106.08,4074,,,,,,,"Research officer, trade union",7.23
4.24,1749,,,,,,,Research scientist (life sciences),9.15
81.81,136,,,,,,,Research scientist (maths),83.60333333
86.78,8019,,,,,,,Research scientist (physical sciences),49.596
12.76,178,,,,,,,Retail banker,74.09
84.4,2518,,,,,,,Retail buyer,86.78
13.52,191096,,,,,,,Retail manager,112.53
12.36,5927,,,,,,,Risk analyst,39.79
67.43,95035,,,,,,,Rural practice surveyor,41.63666667
99.21,782,,,,,,,Sales executive,16.09
9.34,1656,,,,,,,"Sales professional, IT",18.58
55.2,145,,,,,,,Science writer,80.71833333
8.47,28739,,,,,,,Scientific laboratory technician,64.425
171.14,888,,,,,,,"Scientist, audiological",51.01666667
24.03,1493,,,,,,,"Scientist, biomedical",49.98
76.59,1690,,,,,,,"Scientist, clinical (histocompatibility and immunogenetics)",92.18666667
91.86,528,,,,,,,"Scientist, marine",29.52
49.65,46,,,,,,,"Scientist, physiological",13.52
1.57,144160,,,,,,,"Scientist, research (maths)",10.998
6.51,163415,,,,,,,"Scientist, research (physical sciences)",24.77666667
49.76,21134,,,,,,,Secondary school teacher,28.53428571
58.36,3688,,,,,,,Secretary/administrator,54.295
457.82,7163,,,,,,,Seismic interpreter,7.285
308.96,320,,,,,,,Senior tax professional/tax inspector,89.73
117.76,4575,,,,,,,Set designer,40.84
67.62,16183,,,,,,,Site engineer,61.70666667
141.88,1472,,,,,,,"Social research officer, government",3.26
10.18,4056,,,,,,,Social researcher,47.38
557.21,277,,,,,,,Soil scientist,49.76
19,836,,,,,,,Special educational needs teacher,40.3975
19.25,92608,,,,,,,Sport and exercise psychologist,88.87333333
34.12,255,,,,,,,Sports administrator,9.52
5.28,23727,,,,,,,Sports development officer,38.86166667
65.07,2290,,,,,,,Stage manager,41.65
3.13,32891,,,,,,,Statistician,142.4633333
5.57,4424,,,,,,,Structural engineer,197.13
281.39,1645,,,,,,,Sub,186.4028571
139.77,3224,,,,,,,Surgeon,471.725
59.23,1426,,,,,,,"Surveyor, land/geomatics",107.6233333
171.94,910148,,,,,,,"Surveyor, minerals",176.6825
11.05,4878,,,,,,,"Surveyor, mining",4.24
76.26,229,,,,,,,Systems analyst,22.8
8.54,1970,,,,,,,Systems developer,165.3475
5.81,467,,,,,,,Tax adviser,60.1
7.27,2661,,,,,,,Tax inspector,136.105
53.78,128,,,,,,,"Teacher, early years/pre",151.73
3.69,53,,,,,,,"Teacher, English as a foreign language",70.75
51.18,1563,,,,,,,"Teacher, primary school",47.075
67.92,3776,,,,,,,"Teacher, secondary school",62.1525
11.13,1766,,,,,,,"Teacher, special educational needs",8.71
2.24,276002,,,,,,,Teaching laboratory technician,48.535
47.66,3119,,,,,,,Technical brewer,39.5325
11.34,3119,,,,,,,TEFL teacher,61.43
53.85,1195,,,,,,,Telecommunications researcher,18.875
75.73,5875,,,,,,,Television production assistant,77.695
122.96,1507,,,,,,,Television/film/video producer,113.885
19.91,2092,,,,,,,Theatre director,7.27
48.38,1426,,,,,,,Theatre manager,88.14
36.14,9034,,,,,,,Theme park manager,47.97
64.06,23727,,,,,,,"Therapist, art",3.2
86.49,248858,,,,,,,"Therapist, drama",77.12
2.17,43,,,,,,,"Therapist, horticultural",139.79
3.11,171170,,,,,,,"Therapist, music",81.02
156.86,2208,,,,,,,"Therapist, occupational",36.14
77.98,878,,,,,,,"Therapist, sports",14.22
8.71,10295,,,,,,,Tourism officer,12.29
101,218,,,,,,,Tourist information centre manager,53.68
4.74,2036,,,,,,,Town planner,11.938
71.47,16305,,,,,,,Toxicologist,59.685
47.2,686,,,,,,,Trade mark attorney,49.108
109.34,647,,,,,,,Trading standards officer,53.435
48.83,308,,,,,,,Training and development officer,48
43.57,50489,,,,,,,Transport planner,66.595
74.62,94014,,,,,,,Tree surgeon,25.245
40.36,48194,,,,,,,Video editor,49.71333333
101.43,50489,,,,,,,Volunteer coordinator,56.03666667
117.61,2135,,,,,,,Warden/ranger,108.4425
281.82,71335,,,,,,,Waste management officer,39.54
34.35,207410,,,,,,,Water engineer,53.8
159.13,269,,,,,,,Web designer,38.33
45.85,5666,,,,,,,Wellsite geologist,63.68
4.42,2518,,,,,,,Grand Total,74.1448
106.63,1423,,,,,,,,
42.75,35439,,,,,,,,
79.67,8512,,,,,,,,
129.3,140,,,,,,,,
87.71,30770,,,,,,,,
155.16,1078,,,,,,,,
44.66,695,,,,,,,,
63.53,5950,,,,,,,,
68.67,4720,,,,,,,,
137.49,642,,,,,,,,
23.56,23,,,,,,,,
2.93,178,,,,,,,,
74.92,1645,,,,,,,,
48.48,1140,,,,,,,,
6.81,31394,,,,,,,,
38.14,35439,,,,,,,,
351.17,1847,,,,,,,,
196.2,1666,,,,,,,,
128.89,181438,,,,,,,,
32.31,43,,,,,,,,
89.78,1412,,,,,,,,
70.2,1571,,,,,,,,
74.4,467,,,,,,,,
60.2,343,,,,,,,,
219.11,1526206,,,,,,,,
4.56,263,,,,,,,,
22.52,5726,,,,,,,,
66.63,2870,,,,,,,,
47.24,206,,,,,,,,
7.98,1196,,,,,,,,
30.23,331,,,,,,,,
108.78,79613,,,,,,,,
21.05,937,,,,,,,,
7.55,166081,,,,,,,,
17.58,2368,,,,,,,,
19.46,1383,,,,,,,,
2.53,46944,,,,,,,,
2.33,139,,,,,,,,
112.53,673342,,,,,,,,
2.69,466,,,,,,,,
41.22,1506,,,,,,,,
47.02,1196,,,,,,,,
149.97,7646,,,,,,,,
54.69,10256,,,,,,,,
64.99,129,,,,,,,,
71.31,1617,,,,,,,,
126.24,1532,,,,,,,,
3.37,885,,,,,,,,
4.99,242,,,,,,,,
68.41,84861,,,,,,,,
58.19,4354,,,,,,,,
442.27,5901,,,,,,,,
68.39,43102,,,,,,,,
15.35,53,,,,,,,,
291.72,910148,,,,,,,,
80.23,107941,,,,,,,,
3.88,74,,,,,,,,
51.71,167,,,,,,,,
91.28,1363,,,,,,,,
69.41,5211,,,,,,,,
98.57,4726,,,,,,,,
17.22,6006,,,,,,,,
103.11,337,,,,,,,,
202.32,116001,,,,,,,,
70.33,823,,,,,,,,
5.1,376,,,,,,,,
92.92,87124,,,,,,,,
75.85,477,,,,,,,,
61.26,198,,,,,,,,
19.93,207,,,,,,,,
70.92,151022,,,,,,,,
7.43,254282,,,,,,,,
59.88,105638,,,,,,,,
65.03,1631,,,,,,,,
64.99,302,,,,,,,,
315.03,5901,,,,,,,,
188.77,1263321,,,,,,,,
86.94,107941,,,,,,,,
827.15,21902,,,,,,,,
72.69,2691,,,,,,,,
52.83,601723,,,,,,,,
3.64,2263,,,,,,,,
4.88,1766,,,,,,,,
62.78,269,,,,,,,,
5.28,140,,,,,,,,
115.06,2290,,,,,,,,
62.12,743,,,,,,,,
88.75,2158,,,,,,,,
211.65,230,,,,,,,,
6.37,1178,,,,,,,,
36.1,2303,,,,,,,,
140.96,6469,,,,,,,,
5.33,77,,,,,,,,
40.34,2290,,,,,,,,
2.73,1725,,,,,,,,
1.07,1847,,,,,,,,
70.06,450,,,,,,,,
72.09,5648,,,,,,,,
3.46,973849,,,,,,,,
125.28,3994,,,,,,,,
39.54,4367,,,,,,,,
148.83,1512,,,,,,,,
94.62,4049,,,,,,,,
5.98,128354,,,,,,,,
77.71,94014,,,,,,,,
2.69,4172,,,,,,,,
5.12,5161,,,,,,,,
129.59,4090,,,,,,,,
6.02,2471,,,,,,,,
45.85,116001,,,,,,,,
65.03,1472,,,,,,,,
10.84,47,,,,,,,,
102.88,213,,,,,,,,
37.36,1504,,,,,,,,
209.45,276896,,,,,,,,
253.44,76383,,,,,,,,
84.66,5927,,,,,,,,
403.81,94014,,,,,,,,
5.78,641349,,,,,,,,
16.44,3766,,,,,,,,
83.24,11751,,,,,,,,
103.61,630,,,,,,,,
98.39,695,,,,,,,,
19.98,320420,,,,,,,,
40.96,33917,,,,,,,,
14.87,11250,,,,,,,,
16.31,34496,,,,,,,,
6.48,241,,,,,,,,
60.24,2607,,,,,,,,
76.55,477,,,,,,,,
17.22,320420,,,,,,,,
6.96,128,,,,,,,,
1.5,504,,,,,,,,
3.64,9815,,,,,,,,
91.87,1847,,,,,,,,
12.87,1100,,,,,,,,
3.82,5760,,,,,,,,
79.82,217,,,,,,,,
44.44,1654,,,,,,,,
46.52,1766,,,,,,,,
36.11,19408,,,,,,,,
271.21,628,,,,,,,,
91.71,75903,,,,,,,,
495.93,566,,,,,,,,
8.2,2836,,,,,,,,
66.26,94014,,,,,,,,
116.72,4913,,,,,,,,
78.1,565,,,,,,,,
19.51,34496,,,,,,,,
82.41,71485,,,,,,,,
217.74,18760,,,,,,,,
177.64,718,,,,,,,,
88.89,272,,,,,,,,
91.15,15269,,,,,,,,
52.97,71335,,,,,,,,
113.88,1196,,,,,,,,
46.19,328,,,,,,,,
90.02,79613,,,,,,,,
58.36,1132,,,,,,,,
18.39,389246,,,,,,,,
60.38,1178,,,,,,,,
1.08,3032,,,,,,,,
149.6,397,,,,,,,,
48.04,6508,,,,,,,,
8.41,14742,,,,,,,,
38.11,1186,,,,,,,,
134.42,7987,,,,,,,,
7.21,24536,,,,,,,,
144.32,1858,,,,,,,,
77.34,824,,,,,,,,
37.43,828,,,,,,,,
57.87,104396,,,,,,,,
50.71,144160,,,,,,,,
43.52,589,,,,,,,,
59.79,471,,,,,,,,
6.37,4845,,,,,,,,
209.33,7155,,,,,,,,
111.13,1565,,,,,,,,
2.8,324,,,,,,,,
22.94,269,,,,,,,,
30.51,1595797,,,,,,,,
134.59,1504,,,,,,,,
33.44,337,,,,,,,,
22.22,1530,,,,,,,,
78.35,743,,,,,,,,
79.94,378909,,,,,,,,
28.52,1126,,,,,,,,
3.36,836,,,,,,,,
1.6,878,,,,,,,,
36.92,965,,,,,,,,
6.2,722,,,,,,,,
32.82,1412,,,,,,,,
62.32,2290,,,,,,,,
321.56,46563,,,,,,,,
13.23,2526,,,,,,,,
69.86,2054,,,,,,,,
8.44,128,,,,,,,,
7.16,1631,,,,,,,,
48.07,151785,,,,,,,,
48.71,118,,,,,,,,
13.16,1196,,,,,,,,
66.57,1195,,,,,,,,
8.81,3451,,,,,,,,
9.86,1412,,,,,,,,
83.64,7646,,,,,,,,
34.35,177,,,,,,,,
4.43,1574,,,,,,,,
5.89,5901,,,,,,,,
68.38,1140,,,,,,,,
6.76,1595797,,,,,,,,
6,910148,,,,,,,,
45.2,4005,,,,,,,,
19.66,333497,,,,,,,,
43.58,2368,,,,,,,,
41.27,27971,,,,,,,,
59.06,2036,,,,,,,,
20.54,74,,,,,,,,
57.6,1063,,,,,,,,
82.17,1360,,,,,,,,
60.84,3833,,,,,,,,
70.5,976,,,,,,,,
158.68,267,,,,,,,,
8.79,237282,,,,,,,,
5.91,18760,,,,,,,,
20.37,725,,,,,,,,
43.71,1140,,,,,,,,
24.98,4198,,,,,,,,
119.13,172817,,,,,,,,
94.62,972,,,,,,,,
6.37,346,,,,,,,,
53.68,23045,,,,,,,,
71.78,255,,,,,,,,
49.84,1178,,,,,,,,
109.99,75830,,,,,,,,
196.16,19090,,,,,,,,
63.2,18408,,,,,,,,
48.79,5875,,,,,,,,
284.1,74,,,,,,,,
7.91,5760,,,,,,,,
1.26,12486,,,,,,,,
8.57,55345,,,,,,,,
93.72,477,,,,,,,,
163.67,270712,,,,,,,,
93.23,1078,,,,,,,,
45.73,3343,,,,,,,,
66.8,3699,,,,,,,,
84.23,413574,,,,,,,,
27.93,2691,,,,,,,,
77.13,1019,,,,,,,,
145.29,54185,,,,,,,,
100.31,1847,,,,,,,,
22.96,1789,,,,,,,,
86.86,5451,,,,,,,,
